CITY,COUNTRY,STATIONS,LINES,LENGTH
Kamakura,Japan,15,1,10.0
Kitakyushu,Japan,16,1,21.0
Kyoto,Japan,27,2,21.6
Ostend,Belgium,67,1,68.0
