CITY,COUNTRY,STATIONS,LINES,LENGTH
Fukui,Japan,23,1,21.4
Vienna,Austria,36,1,27.2
Aarhus,Denmark,51,2,110.0
Lyon,France,4,1,22.0
Kassel,Germany,0,3,184.0
Hódmezővásárhely,Hungary,6,1,3.5
Rome,Italy,12,1,5.4
Sassari,Italy,8,1,4.3
Rotterdam,Netherlands,43,4,71.0
