CITY,COUNTRY,STATIONS,LENGTH_KM
Rust,Germany,4,2.5
Urayasu,Japan,4,5.0
Alton,United Kingdom,2,1.4
Bay Lake,United States,6,23.66
Anaheim,United States,2,4.0
