CITY,COUNTRY,STATION NUMBER,LINES,TOTAL LENGTH
East London,South Africa,18,1,0.0
Johannesburg,South Africa,10,14,80.0
Port Elizabeth,South Africa,10,1,0.0
Busan,South Korea,23,1,65.7
Seoul,South Korea,283,10,736.3
Alicante,Spain,26,3,202.0
Barcelona,Spain,228,19,615.0
Bilbao,Spain,142,12,100.0
Cartagena,Spain,83,3,186.1
Cádiz,Spain,13,2,61.0
Madrid,Spain,90,10,370.0
Málaga,Spain,26,2,70.0
Oviedo,Spain,0,9,0.0
Palma de Mallorca,Spain,29,3,85.0
San Sebastián,Spain,30,1,80.5
Santander,Spain,27,3,92.0
Seville,Spain,37,5,251.0
Valencia,Spain,66,6,252.0
Zaragoza,Spain,6,1,16.6
Colombo,Sri Lanka,201,18,1436.0
Gothenburg,Sweden,25,3,104.0
Linköping,Sweden,11,1,115.0
Malmö,Sweden,78,6,388.0
Stockholm,Sweden,109,9,324.0
Aarau,Switzerland,78,6,0.0
Basel,Switzerland,72,5,250.0
Bern,Switzerland,134,13,0.0
Chur,Switzerland,22,2,53.0
Fribourg,Switzerland,0,7,0.0
Geneva,Switzerland,45,6,230.0
Lausanne,Switzerland,75,10,0.0
Lucerne,Switzerland,0,9,0.0
Schaffhausen,Switzerland,16,3,0.0
St. Gallen,Switzerland,188,23,0.0
Zug,Switzerland,0,2,0.0
Zurich,Switzerland,171,28,380.0
Greater Taipei,Taiwan,0,4,0.0
Taichung,Taiwan,0,2,0.0
Tainan,Taiwan,0,1,0.0
Dar es Salaam,Tanzania,23,2,45.0
Bangkok,Thailand,39,8,692.86
Sousse,Tunisia,29,1,73.0
Tunis,Tunisia,32,4,60.099999999999994
Adapazarı,Turkey,7,1,8.4
Ankara,Turkey,26,1,37.0
Gaziantep,Turkey,16,1,25.5
Istanbul,Turkey,43,1,76.6
İzmir,Turkey,41,2,136.0
Kyiv,Ukraine,15,1,50.0
Belfast,United Kingdom,44,4,0.0
Birmingham,United Kingdom,146,9,867.4
Bristol,United Kingdom,0,0,0.0
