CITY,COUNTRY,STATIONS,LINES,LENGTH
Clermont-Ferrand,France,34,1,15.7
Mestre,Italy,18,2,6.3
Padua,Italy,25,1,10.4
Trieste,Italy,13,1,5.2
San Francisco,United States,62,3,6.8
Medellín,Colombia,9,1,4.3
