CITY,COUNTRY,STATIONS,LENGTH_KM
Wuhan,China,6,10.5
Dortmund,Germany,4,3.16
Dresden,Germany,2,0.27
Bologna,Italy,3,5.1
Singapore,Singapore,4,2.1
Zaragoza,Spain,2,0.6
Wolmido,South Korea,4,6.1
Ashgabat,Turkmenistan,3,5.2
Aiea,United States,2,0.3
