CITY,COUNTRY,STATIONS,LENGTH_KM
Beijing,China,8,10.0
Changsha,China,3,18.6
Fenghuang,China,4,9.121
Shanghai,China,2,30.5
Nagoya,Japan,9,8.9
Incheon,South Korea,6,6.1
